Data,Hora,Prefixo,Empresa,Área,Linha,Local,Perda,Latitude,Longitude,Notes,,,,,,,,,,,,,,,
2/13/13,19h35,61.150,Cidade Dutra,6,5362/10,"Av. Dona Belmira Marin, 3998 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
2/13/13,19h35,61.454,Cidade Dutra,6,675G/10,"Av. Dona Belmira Marin, 3700 - Grajaú",Perda Total,,,,,,,,,,,,,,,,,,
2/13/13,19h35,61.729,Cidade Dutra,6,5362/10,"Av. Dona Belmira Marin, 3700 - Grajaú",Perda Total,,,,,,,,,,,,,,,,,,
3/27/13,19h50,81.452,Transppass,8,775P/10,"R. Francisco Nogueira, nº 100 - Jd. Jaqueline",Perda Total,,,,,,,,,,,,,,,,,,
3/28/13,21h00,11.292,Santa Brígida,1,9012/10,"R. Inácia Coutinho Patríci, 124 - V. Brasilândia",Perda Parcial,,,,,,,,,,,,,,,,,,
3/29/13,21h25,11.177,Santa Brígida,1,8549/10,"Av. Dep. Cantídio Sampaio, 1633 - V. Brasilândia",Perda Total,,,,,,,,,,,,,,,,,,
4/2/13,20h17,31.340,VIP Transportes,3,2772/10,"Estr. Dom João Nery, 2.200 - Vila Curuçá",Perda Parcial,,,,,,,,,,,,,,,,,,
4/2/13,21h15,31.376,VIP Trnasportes,3,2772/10,"R. Teodoro de Assis, S/Nº - Jd. Nazaré",Perda Total,,,,,,,,,,,,,,,,,,
4/4/13,21h00,72.578,Campo Belo,7,Campo Belo,"Av. Dom Rodrigo Sanches, 304 - Pq. Do Engenho",Perda Total,,,,,,,,,,,,,,,,,,
4/4/13,22h40,22h40,Campo Belo,7,7059/10,"R. Alfredo Lorenz, 296 - Pq. Do Engenho",Perda Parcial,,,,,,,,,,,,,,,,,,
4/21/13,22h17,33.314,VIP Transportes,3,2060/10,"R. Arbela, 321 - Cid. A E Carvalho",Perda Parcial,,,,,,,,,,,,,,,,,,
5/4/13,21h10,31.335,VIP Transportes,3,2772/10,"R. Teodoro de Assis, 30 - Itaim Paulista",Perda Parcial,,,,,,,,,,,,,,,,,,
6/11/13,00h20,32.978,VIP Transportes,3,263C/10,"Av. João Batista Santiago, 120 - Jd. Robru",Perda Parcial,,,,,,,,,,,,,,,,,,
6/18/13,21h20,61.115,Cidade Dutra,6,637G/51,"Av. Dona Belmira Marin, 4438 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
6/18/13,20h30,61.051,Cidade Dutra,6,5370/10,"Av. Dona Belmira Marin, S/Nº - Grajaú",Perda Total,,,,,,,,,,,,,,,,,,
6/19/13,21h40,61.131,Cidade Dutra,6,5362/10,"Av. Dona Belmira Marin, 4.300 - Grajaú",Perda Total,,,,,,,,,,,,,,,,,,
7/1/13,16h40,31.385,VIP Transportes,3,2772/10,"Rua Francisco Luis de Oliveira, S/Nº - Vila Curuçá",Perda Total,,,,,,,,,,,,,,,,,,
